language_id,language
1,Albánsky
2,Katalánsky
3,Francúzsky
4,Holandsky
5,Nemecky
6,Bielorusky
7,Rusky
8,Bosniansky
9,Chorvátsky
10,Srbsky
11,Bulharsky
12,Česky
13,Černohorsky
14,Dánsky
15,Estónsky
16,Fínsky
17,Švédsky
18,Anglicky
19,Španielsky
20,Grécky
21,Írsky
22,Islandsky
23,Nórsky
24,Litovsky
25,Lotyšský
26,Luxembursky
27,Maďarsky
28,Portugalsky
29,Maltsky
30,Rumunský
31,Moldavsky
32,Poľsky
33,Taliansky
34,Slovensky
35,Slovinsky
36,Turecky
37,Ukrajinsky
38,Latinsky