language_id,language,country_id
1,Albánsky,1
1,Albánsky,35
2,Katalánsky,2
2,Katalánsky,40
3,Francúzsky,3
3,Francúzsky,13
3,Francúzsky,22
3,Francúzsky,41
3,Francúzsky,43
4,Holandsky,3
4,Holandsky,15
5,Nemecky,3
5,Nemecky,19
5,Nemecky,22
5,Nemecky,27
5,Nemecky,31
5,Nemecky,41
6,Bielorusky,4
7,Rusky,4
7,Rusky,25
7,Rusky,33
8,Bosniansky,5
9,Chorvátsky,5
9,Chorvátsky,16
9,Chorvátsky,31
10,Srbsky,39
10,Srbsky,5
11,Bulharsky,6
12,Česky,8
13,Černohorsky,9
14,Dánsky,10
15,Estónsky,11
16,Fínsky,12
17,Švédsky,12
17,Švédsky,42
18,Anglicky,17
18,Anglicky,24
18,Anglicky,38
19,Španielsky,40
20,Grécky,14
21,Írsky,17
22,Islandsky,18
23,Nórsky,28
24,Litovsky,20
25,Lotyšský,21
26,Luxembursky,22
27,Maďarsky,37
27,Maďarsky,23
28,Portugalsky,30
29,Maltsky,24
30,Rumunský,32
30,Rumunský,25
31,Moldavsky,25
32,Poľsky,29
33,Taliansky,46
33,Taliansky,43
33,Taliansky,41
33,Taliansky,34
34,Slovensky,36
35,Slovinsky,31
35,Slovinsky,37
36,Turecky,44
37,Ukrajinsky,45
37,Ukrajinsky,25
38,Latinsky,46
39,Macedonsky,35